id;type;lat;lon;address;title;sculptor;architect;year;material;condition;heritage_status;description;photo_urls;source_links
38;не указан;55,792273;37,625196;Сущёвский Вал, 62;Памятник Ленину (Сущёвский Вал, 62);;;;;утрачен;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.625196,55.792273
39;не указан;55,737733;37,667632;Таганский парк;Памятник Ленину (Таганский парк);;;;;утрачен;;Демонтирован в 1993 году;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.667632,55.737733
40;не указан;55,741546;37,620058;Третьяковская галерея;Памятник Ленину (Третьяковская галерея);;;;;утрачен;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.620058,55.741546
41;не указан;55,797061;37,823506;улица 16-ая Парковая;Памятник Ленину (улица 16-ая Парковая);;;;;утрачен;;"Территория РЭУ.
Демонтирован в 2000-ых годах.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.823506,55.797061
42;не указан;55,96061;37,593109;улица 3-ья Радиальная;Памятник Ленину (улица 3-ья Радиальная);;;;;утрачен;;"Царицыно, территория в/ч 61608.
Демонтирован в июне 2016 года.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.593109,55.96061
43;не указан;55,647193;37,477238;улица Архипова;Памятник Ленину (улица Архипова);;;;;утрачен;;"Современный адрес - (сейчас - Большой Спасоглинищевский
переулок), 5.
Перед зданием больницы №41.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.477238,55.647193
44;не указан;55,735724;37,690507;"улица Большая
Калитниковская, 42";"Памятник Ленину (улица Большая
Калитниковская, 42)";;;;;утрачен;;"Территория трамвайного депо.
Демонтирован в 2000-ых годах.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.690507,55.735724
45;не указан;55,640803;37,758353;"улица Борисовские
Пруды, 1";"Памятник Ленину (улица Борисовские
Пруды, 1)";;;;;утрачен;;Демонтирован осенью 2007 года.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.758353,55.640803
46;не указан;55,71824;37,830335;улица Косинская, 24а;Памятник Ленину (улица Косинская, 24а);;;;;утрачен;;"Территория гимназии №1512.
Демонтирован в начале 1990-ых годов.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.830335,55.71824
47;не указан;55,760552;37,553148;улица Костикова, 5;Памятник Ленину (улица Костикова, 5);;;;;утрачен;;Снимок 1980-ых годов.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.553148,55.760552
48;фигура;55,801277;37,710409;"улица
Краснобогатырская, 90";"Памятник Ленину (улица
Краснобогатырская, 90)";;;;;утрачен;;"Территория завода ""Изолит"".
Фотография 2012 года, памятник демонтирован, вероятно, в
2014 году.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.710409,55.801277
49;не указан;55,761254;37,799449;улица Металлургов, 37;Памятник Ленину (улица Металлургов, 37);;;;;утрачен;;"Территория воинской части, фото 2014 года.
Демонтирован в 2014 году.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.799449,55.761254
50;не указан;55,717232;37,619539;улица Мытная, 23;Памятник Ленину (улица Мытная, 23);;;;;утрачен;;Снимок 1937 года.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.619539,55.717232
51;не указан;55,764377;37,636211;улица Мясницкая, 21б;Памятник Ленину (улица Мясницкая, 21б);Н.В.Томский, А.А.Андреев;;1973;;утрачен;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.636211,55.764377
52;не указан;55,676716;37,647753;улица Нагатинская, 16а;Памятник Ленину (улица Нагатинская, 16а);Г.В.Нерода;;;;утрачен;;"Территория ЦНИИХМ.
Демонтирован в 2011 годe.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.647753,55.676716
53;не указан;55,788665;37,604444;улица Новосущёвская, 22;Памятник Ленину (улица Новосущёвская, 22);;;;;утрачен;;"Территория Московского института инженеров транспорта.
Демонтирован в 1991 году.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.604444,55.788665
54;не указан;55,756772;37,588356;улица Поварская, 11;Памятник Ленину (улица Поварская, 11);О.К.Комов;;;;утрачен;;Демонтирован в 2008-2009 году.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.588356,55.756772
55;не указан;55,797199;37,599556;улица Полковая, 12;Памятник Ленину (улица Полковая, 12);;;;;утрачен;;"Территория комбината твёрдых сплавов.
Демонтирован в 2020-е гг. Размещен на территории усадьбы
""Горки Ленинские"".";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.599556,55.797199
56;не указан;55,812979;37,592259;улица Руставели;Памятник Ленину (улица Руставели);М.Ф.Листопад, М.А.Фирсов, И.Н.Афанасов;;1968;;утрачен;;Демонтирован в 1990-ых годах.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.592259,55.812979
57;не указан;55,733593;37,589235;улица Тимура Фрунзе, 11;Памятник Ленину (улица Тимура Фрунзе, 11);;;;;утрачен;;"Территория фабрики ""Красная Роза"".
Убран в конце 2014-начале 2015 года.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.589235,55.733593
58;не указан;55,7213;37,401039;улица Толбухина;Памятник Ленину (улица Толбухина);;;;;утрачен;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.401039,55.7213
59;не указан;55,724412;37,563257;улица Усачёва;Памятник Ленину (улица Усачёва);;;;;утрачен;;;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.563257,55.724412
60;не указан;55,815561;37,320807;улица Циолковского;Памятник Ленину (улица Циолковского);;;;;утрачен;;Снимок 1959-1961 годов.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.320807,55.815561
61;бюст;55,985183;37,215124;"Центральный аэроклуб
имени Косарева";"Памятник Ленину (Центральный аэроклуб
имени Косарева)";;;;;утрачен;;"Памятник установлен до 1935 г.
Не позднее 1961 г. на месте этого бюста был установлен
памятник, существующий до настоящего времени.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.215124,55.985183
62;фигура;55,749954;37,389856;ЦКБ имени Семашко;Памятник Ленину (ЦКБ имени Семашко);Г.Н.Постников;;;;утрачен;;"Территория ЦКБ №4 имени Семашко.
Снимок сделан в 1960-ых годах.
Памятник демонтирован в 1990-ые годы.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.389856,55.749954
63;не указан;55,776837;37,657306;Ярославский вокзал;Памятник Ленину (Ярославский вокзал);С.Д.Меркуров;;;;утрачен;;Демонтирован в 1967 году.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.657306,55.776837
64;не указан;55,79647;37,609535;"3-ий проезд Марьиной
Рощи, 40";"Памятник Ленину (3-ий проезд Марьиной
Рощи, 40)";;;;;существует;;"Территория ФГУП ""Техномаш"".";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.609535,55.79647
65;не указан;55,812221;37,682765;6-ой Лучевой просек;Памятник Ленину (6-ой Лучевой просек);;;;;существует;;"Территория школы ""Мыслитель"".";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.682765,55.812221
66;не указан;55,734721;37,560681;"Бережковская
набережная, 20";"Памятник Ленину (Бережковская
набережная, 20)";;;1969;;существует;;"Территория НПО ""Пластик"".";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.560681,55.734721
67;не указан;55,672669;37,625268;Варшавское шоссе, 46;Памятник Ленину (Варшавское шоссе, 46);;;;;существует;;"Территория Научно-исследовательского института технической
физики и автоматизации.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.625268,55.672669
68;фигура;55,812088;37,502205;Волоколамское шоссе, 4;Памятник Ленину (Волоколамское шоссе, 4);Г.В.Нерода;;;;существует;;"Территория Московского авиационного института.
Памятник установлен не позднее конца 1940-ых гг.";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.502205,55.812088
69;не указан;55,823322;37,441116;Волоколамское шоссе, 88;Памятник Ленину (Волоколамское шоссе, 88);С.Д.Меркуров;;;;существует;;У здания Московского аэроклуба.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.441116,55.823322
70;не указан;55,72711;37,535043;Воробьёвское шоссе, 6;Памятник Ленину (Воробьёвское шоссе, 6);;;;;существует;;Территория станкоинструментального колледжа.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.535043,55.72711
71;не указан;55,828013;37,634768;"Выставка достижений
народного хозяйства
(ВДНХ)";"Памятник Ленину (Выставка достижений
народного хозяйства
(ВДНХ))";П.П.Яцыно;;1954;;существует;;"Перед павильоном ""Дом народов России"".";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.634768,55.828013
72;не указан;55,809586;37,522233;Головановский переулок;Памятник Ленину (Головановский переулок);;;;;существует;;Территория бывшего студенческого городка.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.522233,55.809586
73;не указан;55,890784;37,544215;Дмитровское шоссе, 110;Памятник Ленину (Дмитровское шоссе, 110);;;;;существует;;Территория Лианозовского электромеханического завода.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.544215,55.890784
74;не указан;55,753708;37,619917;"завод ""Гелиймаш""";"Памятник Ленину (завод ""Гелиймаш"")";;;;;существует;;"Улица Автозаводская, 25. Территория завода ""Гелиймаш"".";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.619917,55.753708
75;не указан;55,753708;37,619917;"завод ""Знамя
Революции""";"Памятник Ленину (завод ""Знамя
Революции"")";;;;;существует;;"Алтуфьеское шоссе, 29.
Территория бывшего завода ""Знамя Революции"" (сейчас
называется ""МПО имени И.Румянцева"").";;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.619917,55.753708
76;не указан;55,753708;37,619917;"завод ""Плутон""";"Памятник Ленину (завод ""Плутон"")";;;1983;;существует;;Улица Нижняя Сыромятническая, 11.;;https://web.archive.org/web/20250613224843/http://leninstatues.ru/moscow, https://2gis.ru/geo/37.619917,55.753708
